criticidad,estado,nombre_spend,nombre_leads,spend,impresiones,clicks,leads_total,leads_hmt,leads_web,leads_lfr,spend_desde,spend_hasta,accion
HIGH,SOLO SPEND - gasta sin leads,col-sellers-paid-brand-web-meta-awareness-prospecting-national,,1580,7163108,14622,0,0,0,0,2026-04-10,2026-05-11,No hay leads atribuidos a este nombre. Verificar UTM del landing.
HIGH,REVISAR - stem con 2 variantes,hab-col-hmt-pai-per-clg-avg-mta-otr-oto-nal,hab-col-hmt-pai-per-clg-avg-mta-otr-oto-nal,674,259876,1980,3593,3593,0,0,2024-09-17,2024-09-27,"limpia. Total stem: $36,764 spend / 3,670 leads. Alinear nombres en Ads y UTM landing."
HIGH,REVISAR - stem con 2 variantes,hab-col-hmt-pai-per-clg-avg-mta-otr-oto-nalnew,hab-col-hmt-pai-per-clg-avg-mta-otr-oto-nalnew,36090,22508078,161486,77,75,2,0,2024-09-24,2026-05-11,"variante ""new"". Total stem: $36,764 spend / 3,670 leads. Alinear nombres en Ads y UTM landing."
HIGH,REVISAR - stem con 2 variantes,hab-col-hmt-pai-per-web-mta-mld-oto-nal-new,,13320,8983531,69111,0,0,0,0,2024-05-09,2024-11-08,"variante ""-new"". Total stem: $21,842 spend / 8,400 leads. Alinear nombres en Ads y UTM landing."
HIGH,REVISAR - stem con 2 variantes,hab-col-hmt-pai-per-web-mta-mld-oto-nal,hab-col-hmt-pai-per-web-mta-mld-oto-nal,8522,6513276,34345,8400,8400,0,0,2024-01-01,2024-05-13,"limpia. Total stem: $21,842 spend / 8,400 leads. Alinear nombres en Ads y UTM landing."
HIGH,REVISAR - stem con 3 variantes,hab-col-sel-pai-per-lfr-mta-mld-oto-nal-avg/NO USAR,,26659,1522690,37639,0,0,0,0,2025-05-14,2025-05-14,"variante ""-avg/NO USAR"". Total stem: $101,626 spend / 12,254 leads. Alinear nombres en Ads y UTM landing."
HIGH,REVISAR - stem con 3 variantes,,hab-col-sel-pai-per-lfr-mta-mld-oto-nal-test,0,0,0,5,0,0,5,,,"variante ""-test"". Total stem: $101,626 spend / 12,254 leads. Alinear nombres en Ads y UTM landing."
HIGH,REVISAR - stem con 3 variantes,hab-col-sel-pai-per-lfr-mta-mld-oto-nal,hab-col-sel-pai-per-lfr-mta-mld-oto-nal,74967,30224665,229718,12249,0,0,12249,2024-01-01,2026-03-19,"limpia. Total stem: $101,626 spend / 12,254 leads. Alinear nombres en Ads y UTM landing."
HIGH,SOLO SPEND - gasta sin leads,hab-col-sel-pai-per-web-bga-bwc-gsr-nal-bnd,,1032,8093,3173,0,0,0,0,2024-01-01,2024-07-18,No hay leads atribuidos a este nombre. Verificar UTM del landing.
HIGH,SOLO SPEND - gasta sin leads,hab-col-sel-pai-per-web-gga-gwg-gsm-nal,,22854,489709,86654,0,0,0,0,2024-01-01,2024-06-18,No hay leads atribuidos a este nombre. Verificar UTM del landing.
HIGH,REVISAR - stem con 2 variantes,hab-col-sel-pai-per-web-mta-mld-oto-med-new,hab-col-sel-pai-per-web-mta-mld-oto-med-new,62778,36428764,180443,3594,0,3594,0,2025-02-17,2026-05-11,"variante ""-new"". Total stem: $66,717 spend / 3,728 leads. Alinear nombres en Ads y UTM landing."
HIGH,REVISAR - stem con 2 variantes,hab-col-sel-pai-per-web-mta-mld-oto-med,hab-col-sel-pai-per-web-mta-mld-oto-med,3939,3374668,10152,134,0,134,0,2024-01-01,2024-05-15,"limpia. Total stem: $66,717 spend / 3,728 leads. Alinear nombres en Ads y UTM landing."
HIGH,REVISAR - stem con 2 variantes,hab-col-sel-pai-per-web-mta-mld-oto-nal-lal-cr,hab-col-sel-pai-per-web-mta-mld-oto-nal-lal-cr,3565,2181229,8734,192,0,192,0,2024-09-10,2024-10-18,"variante ""-cr"". Total stem: $6,405 spend / 450 leads. Alinear nombres en Ads y UTM landing."
HIGH,REVISAR - stem con 2 variantes,hab-col-sel-pai-per-web-mta-mld-oto-nal-lal,hab-col-sel-pai-per-web-mta-mld-oto-nal-lal,2840,2881764,8884,258,0,258,0,2024-02-01,2024-02-20,"limpia. Total stem: $6,405 spend / 450 leads. Alinear nombres en Ads y UTM landing."
HIGH,REVISAR - stem con 4 variantes,hab-col-sel-pai-per-web-mta-mld-oto-nal-rgt,,24612,17091854,83185,0,0,0,0,2024-01-01,2024-06-20,"variante ""-rgt"". Total stem: $72,168 spend / 558 leads. Alinear nombres en Ads y UTM landing."
HIGH,REVISAR - stem con 4 variantes,hab-col-sel-pai-per-web-mta-mld-oto-nal-test,hab-col-sel-pai-per-web-mta-mld-oto-nal-test,3132,1893140,27268,127,0,127,0,2025-07-31,2025-09-05,"variante ""-test"". Total stem: $72,168 spend / 558 leads. Alinear nombres en Ads y UTM landing."
HIGH,SOLO SPEND - gasta sin leads,hab-col-sel-pai-per-web-mta-mld-oto-nal-userpersona-v2,,1001,620209,2509,0,0,0,0,2024-04-04,2024-04-14,No hay leads atribuidos a este nombre. Verificar UTM del landing.
HIGH,REVISAR - stem con 4 variantes,hab-col-sel-pai-per-web-mta-mld-oto-nal-userpersona,hab-col-sel-pai-per-web-mta-mld-oto-nal-userpersona,42294,50994022,150433,431,0,431,0,2024-03-08,2024-09-17,"variante ""-userpersona"". Total stem: $72,168 spend / 558 leads. Alinear nombres en Ads y UTM landing."
HIGH,REVISAR - stem con 4 variantes,hab-col-sel-pai-per-web-mta-mld-oto-nal-winclap,,2130,1572610,17046,0,0,0,0,2024-01-29,2024-02-20,"variante ""-winclap"". Total stem: $72,168 spend / 558 leads. Alinear nombres en Ads y UTM landing."
HIGH,REVISAR - stem con 2 variantes,hab-col-sel-pai-per-web-tka-twc-oto-nal-smart-NO USAR,,373,1866123,3076,0,0,0,0,2025-03-04,2025-05-11,"variante ""-smart-NO USAR"". Total stem: $37,383 spend / 2,035 leads. Alinear nombres en Ads y UTM landing."
HIGH,REVISAR - stem con 2 variantes,hab-col-sel-pai-per-web-tka-twc-oto-nal,hab-col-sel-pai-per-web-tka-twc-oto-nal,37010,99758573,631851,2035,0,2035,0,2024-01-01,2026-05-08,"limpia. Total stem: $37,383 spend / 2,035 leads. Alinear nombres en Ads y UTM landing."
LOW,SOLO SPEND - gasta sin leads,hab-col-sel-pai-bra-web-mta-maw-mvi-nal-bcn - Interacción - Copia,,125,274574,3042,0,0,0,0,2024-12-12,2024-12-15,No hay leads atribuidos a este nombre. Verificar UTM del landing.
LOW,SOLO SPEND - gasta sin leads,hab-col-sel-pai-per-web-mta-otr-oto-nal-test-cr,,158,91901,911,0,0,0,0,2024-08-21,2024-08-23,No hay leads atribuidos a este nombre. Verificar UTM del landing.
OK,Solo leads (organico/directo),,120209402685510716,0,0,0,118,0,118,0,,,-
OK,Solo leads (organico/directo),,120210767290450716,0,0,0,67,0,67,0,,,-
OK,Solo leads (organico/directo),,120212805362660716,0,0,0,95,0,95,0,,,-
OK,Solo leads (organico/directo),,120214237218210716,0,0,0,53,53,0,0,,,-
OK,Solo leads (organico/directo),,120214819036820716,0,0,0,10,0,10,0,,,-
OK,Solo leads (organico/directo),,120216656816870716,0,0,0,46,0,46,0,,,-
OK,Solo leads (organico/directo),,120230850397720716,0,0,0,6,0,6,0,,,-
OK,Solo leads (organico/directo),,120230850784990716,0,0,0,5,0,5,0,,,-
OK,Solo leads (organico/directo),,120236164721310716,0,0,0,19,0,19,0,,,-
OK,Solo leads (organico/directo),,120236167767980716,0,0,0,12,0,12,0,,,-
OK,Solo leads (organico/directo),,FB_HabiWeb_LeadAds_EDM_CDMX_Conversion_LeadAds_TestV3,0,0,0,55,0,0,55,,,-
OK,Solo leads (organico/directo),,HABIMETRO,0,0,0,20,20,0,0,,,-
OK,Solo leads (organico/directo),,Newsletter,0,0,0,5,5,0,0,,,-
OK,Solo leads (organico/directo),,Venta Marketing,0,0,0,20,10,10,0,,,-
OK,Solo leads (organico/directo),,col-sellers-organic-community-web-instagram-leads-organic-national-general,0,0,0,631,0,631,0,,,-
